wheel,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
mod2310,random_matched,0,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.875,0.0023941770000419638
mod2310,random_matched,0,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.875,0.0023941770000419638
mod2310,random_matched,0,stability,stable_w3_tol0.01,,222,0.19839142091152814,0.8421723554080419,0.0023491080000894726
mod2310,random_matched,1,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.0024377709999043873
mod2310,random_matched,1,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.0024377709999043873
mod2310,random_matched,1,stability,stable_w3_tol0.01,,152,0.1358355674709562,0.8540373229262357,0.0024975399999220826
mod2310,random_matched,2,target_95,target_0.95,0.8391580790141063,94,0.0840035746201966,0.8568795039383276,0.0024229269999977987
mod2310,random_matched,2,target_99,target_0.99,0.8744910507620687,233,0.20822162645218945,0.875219076878063,0.002424582999992708
mod2310,random_matched,2,stability,stable_w3_tol0.01,,129,0.11528150134048257,0.8509302689180738,0.002470744999982344
mod2310,random_matched,3,target_95,target_0.95,0.8391580790141063,35,0.03127792672028597,0.8484848484848485,0.002364108999927339
mod2310,random_matched,3,target_99,target_0.99,0.8744910507620687,94,0.0840035746201966,0.880074385883981,0.0022714910001013777
mod2310,random_matched,3,stability,stable_w3_tol0.01,,210,0.1876675603217158,0.8954410323640023,0.00248760499994205
mod2310,random_matched,4,target_95,target_0.95,0.8391580790141063,24,0.021447721179624665,0.8416666666666667,0.0022241399999529676
mod2310,random_matched,4,target_99,target_0.99,0.8744910507620687,59,0.05272564789991063,0.8820804195804196,0.0022737599999800295
mod2310,random_matched,4,stability,stable_w3_tol0.01,,117,0.10455764075067024,0.9003729312949702,0.002249329999813199
mod2310,random_matched,5,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.8958333333333334,0.0023278460000710766
