schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,wheel,schedule_type,trial
0.85,254,0.22698838248436104,0.002894779000143899,0.8937007874015748,0.8910647027877437,0.04872882846748719,mod30,random_matched,4
0.9,269,0.24039320822162646,0.003052463000130956,0.895910780669145,0.8930909903178884,0.04577241363272436,mod30,random_matched,4
0.95,284,0.2537980339588919,0.0026119399999515736,0.897887323943662,0.894466420676098,0.07129731022416899,mod30,random_matched,4
1.0,298,0.26630920464700625,0.0020077660001334152,0.8959731543624161,0.8921340154098775,0.06837360778739407,mod30,random_matched,4
0.05,15,0.013404825737265416,0.0018233499999951164,1.0,1.0,0.5290437890974085,mod30,random_matched,5
0.1,30,0.02680965147453083,0.0016067189999375842,0.9333333333333333,0.8939393939393939,0.3454870420017872,mod30,random_matched,5
0.15,45,0.040214477211796246,0.0016842899999574001,0.9333333333333333,0.9265873015873016,0.14548704200178725,mod30,random_matched,5
0.2,60,0.05361930294906166,0.001635783000210722,0.9166666666666666,0.9072765469824293,0.16237712243074173,mod30,random_matched,5
0.25,75,0.06702412868632708,0.0016535180000118999,0.92,0.9172554347826087,0.10237712243074171,mod30,random_matched,5
0.3,90,0.08042895442359249,0.001610141999890402,0.9222222222222223,0.9182175456389452,0.15126601131963063,mod30,random_matched,5
0.35,105,0.0938337801608579,0.0015669980000438954,0.8952380952380953,0.8932470148854145,0.12904378909740843,mod30,random_matched,5
0.39999999999999997,120,0.10723860589812333,0.0015996750000795146,0.9,0.8981900452488688,0.09571045576407505,mod30,random_matched,5
0.44999999999999996,135,0.12064343163538874,0.0015653329999167909,0.8888888888888888,0.8870514812570313,0.06978452983814917,mod30,random_matched,5
0.49999999999999994,149,0.13315460232350312,0.001644411000143009,0.8926174496644296,0.8903962996986253,0.05528665934949109,mod30,random_matched,5
0.5499999999999999,164,0.14655942806076855,0.0016218149999076559,0.8963414634146342,0.8944517089826015,0.06562915495106697,mod30,random_matched,5
0.6,179,0.15996425379803395,0.001742152999895552,0.88268156424581,0.8800783957033957,0.06280547775597725,mod30,random_matched,5
0.65,194,0.17336907953529937,0.0016338890000042738,0.8865979381443299,0.8855728011825572,0.05135292004090544,mod30,random_matched,5
0.7,209,0.1867739052725648,0.0018196389999047824,0.8851674641148325,0.8827913908432399,0.06183750871206778,mod30,random_matched,5
0.75,224,0.20017873100983022,0.00165992000006554,0.8883928571428571,0.8857729840780688,0.06739116558151409,mod30,random_matched,5
0.7999999999999999,239,0.21358355674709562,0.0016548480000437849,0.891213389121339,0.8891041664320293,0.08898411238366591,mod30,random_matched,5
0.85,254,0.22698838248436104,0.001723007000009602,0.8937007874015748,0.892530338513945,0.08440466389422502,mod30,random_matched,5
0.9,269,0.24039320822162646,0.0017662059999565827,0.8884758364312267,0.8866507870753936,0.058031101853420586,mod30,random_matched,5
0.95,284,0.2537980339588919,0.0017083810000713129,0.8838028169014085,0.8812217399860948,0.03703633777643517,mod30,random_matched,5
1.0,298,0.26630920464700625,0.0017493279999598599,0.8859060402684564,0.8835579142567107,0.04186384055754472,mod30,random_matched,5
0.05,15,0.013404825737265416,0.001625393000040276,0.9333333333333333,0.9166666666666666,0.28239499553172476,mod30,random_matched,6
0.1,30,0.02680965147453083,0.0016690850000031787,0.9,0.8974358974358975,0.3490616621983914,mod30,random_matched,6
0.15,45,0.040214477211796246,0.0015223729999434,0.8444444444444444,0.8539215686274509,0.3712838844206136,mod30,random_matched,6
0.2,60,0.05361930294906166,0.0015404230000513053,0.8833333333333333,0.8869949494949495,0.28239499553172476,mod30,random_matched,6
0.25,75,0.06702412868632708,0.0015351319998444524,0.8266666666666667,0.8219373219373219,0.22906166219839144,mod30,random_matched,6
0.3,90,0.08042895442359249,0.0022565720000784495,0.8333333333333334,0.8286943581780539,0.19499553172475423,mod30,random_matched,6
0.35,105,0.0938337801608579,0.0020640269999603333,0.8476190476190476,0.8466071428571429,0.2045193412485638,mod30,random_matched,6
0.39999999999999997,120,0.10723860589812333,0.001839417999917714,0.8666666666666667,0.8652861913637775,0.1616621983914209,mod30,random_matched,6
0.44999999999999996,135,0.12064343163538874,0.0021660400000200752,0.8740740740740741,0.8712935809710004,0.17277330950253203,mod30,random_matched,6
0.49999999999999994,149,0.13315460232350312,0.001994427999989057,0.87248322147651,0.8701884920634921,0.1757561581229645,mod30,random_matched,6
0.5499999999999999,164,0.14655942806076855,0.0019535829999313137,0.8536585365853658,0.8538359163359164,0.14702805204995748,mod30,random_matched,6
0.6,179,0.15996425379803395,0.002012990999901376,0.8659217877094972,0.8654595455544049,0.14546108107298514,mod30,random_matched,6
0.65,194,0.17336907953529937,0.002023810000082449,0.8762886597938144,0.8749278934741243,0.10289931179348277,mod30,random_matched,6
0.7,209,0.1867739052725648,0.0021034100000179023,0.8851674641148325,0.8835417598389983,0.0905456426833596,mod30,random_matched,6
0.75,224,0.20017873100983022,0.0019819629999346944,0.8839285714285714,0.8818476299819584,0.0973764841057066,mod30,random_matched,6
0.7999999999999999,239,0.21358355674709562,0.001967089000117994,0.8828451882845189,0.8790948752897867,0.09095090132029118,mod30,random_matched,6
0.85,254,0.22698838248436104,0.0020422800000687857,0.8779527559055118,0.8744784174487075,0.0616621983914209,mod30,random_matched,6
0.9,269,0.24039320822162646,0.0021686519999093434,0.8847583643122676,0.8819111639534175,0.050596157615502346,mod30,random_matched,6
0.95,284,0.2537980339588919,0.002109250000103202,0.8802816901408451,0.8780265217033193,0.04852798650706741,mod30,random_matched,6
1.0,298,0.26630920464700625,0.0021733840001161298,0.8758389261744967,0.8729391005035894,0.05286959233735772,mod30,random_matched,6
0.05,15,0.013404825737265416,0.001890880000019024,0.8666666666666667,0.9375,0.5447721179624665,mod30,random_matched,7
0.1,30,0.02680965147453083,0.0016641810000237456,0.8333333333333334,0.8712121212121212,0.28239499553172476,mod30,random_matched,7
0.15,45,0.040214477211796246,0.0015842939999402006,0.8222222222222222,0.8683035714285714,0.28239499553172476,mod30,random_matched,7
0.2,60,0.05361930294906166,0.0016165090000868076,0.85,0.8683823529411764,0.18239499553172475,mod30,random_matched,7
0.25,75,0.06702412868632708,0.0015756860000237793,0.8666666666666667,0.8748188405797102,0.09572832886505808,mod30,random_matched,7
0.3,90,0.08042895442359249,0.0015639099999589234,0.8666666666666667,0.8736151974138244,0.07673518022043493,mod30,random_matched,7
0.35,105,0.0938337801608579,0.001598767999894335,0.8761904761904762,0.8814560439560439,0.053823566960296165,mod30,random_matched,7
