schedule_name,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds,stop_lane_coverage_fraction
random_matched,random_matched,22,target_99,target_0.99,0.8744910507620687,135,0.12064343163538874,0.8745596315449256,0.0018112800003109442,1.0
random_matched,random_matched,22,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8745596315449256,0.0018112800003109442,1.0
random_matched,random_matched,23,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016418360000898247,0.5
random_matched,random_matched,23,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016418360000898247,0.5
random_matched,random_matched,23,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8862621753246753,0.0018904249996012368,1.0
random_matched,random_matched,24,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.001563882000027661,0.375
random_matched,random_matched,24,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.001563882000027661,0.375
random_matched,random_matched,24,stability,stable_w3_tol0.01,,239,0.21358355674709562,0.8697115315419046,0.001866661999883945,1.0
random_matched,random_matched,25,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0015328439999393595,0.125
random_matched,random_matched,25,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0015328439999393595,0.125
random_matched,random_matched,25,stability,stable_w3_tol0.01,,254,0.22698838248436104,0.8899587833525086,0.0022674709998682374,1.0
random_matched,random_matched,26,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0016227210003307846,0.75
random_matched,random_matched,26,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0016227210003307846,0.75
random_matched,random_matched,26,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8935309973045823,0.0020484810002017184,1.0
random_matched,random_matched,27,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0014729950003129488,0.375
random_matched,random_matched,27,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0014729950003129488,0.375
random_matched,random_matched,27,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8829218309397338,0.0019459620002635347,1.0
random_matched,random_matched,28,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.001467906000016228,0.625
random_matched,random_matched,28,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.001467906000016228,0.625
random_matched,random_matched,28,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.9119823759358643,0.0018792490000123507,1.0
random_matched,random_matched,29,target_95,target_0.95,0.8391580790141063,75,0.06702412868632708,0.8656355562820094,0.0017235029999937979,0.875
random_matched,random_matched,29,target_99,target_0.99,0.8744910507620687,90,0.08042895442359249,0.8775824175824175,0.0019485699999677308,1.0
random_matched,random_matched,29,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8894200285329317,0.0018763130001389072,1.0
