schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction,cost_query_fraction,cost_accuracy_gap,cost_coverage_gap,cost_class_shift,score_balanced,score_min_queries,score_accuracy_first,score_coverage_first,score_distribution_first
global_low_conf,global_low_confidence,-1,0.65,194,0.17336907953529937,0.0021837369999957446,0.5051546391752577,0.52506105006105,0.2194614116064601,0.17310906856468214,0.131595865921664,1.0,0.17336907953529937,0.4055851811091096,0.0,0.23406149407894475,0.22040630738385492,0.22015543842958657,0.29276262000365516,0.1508078066154668,0.22102625483915023
global_low_conf,global_low_confidence,-1,0.7,209,0.1867739052725648,0.0021404789999905915,0.507177033492823,0.5294337606837607,0.24111582881160984,0.18628753375300747,0.146320276107396,1.0,0.1867739052725648,0.40063489200928276,0.0,0.25715651204745654,0.22548916532850863,0.228600022106977,0.2941126722012,0.1538904599979511,0.23103741361218805
global_low_conf,global_low_confidence,-1,0.75,224,0.20017873100983022,0.002233584000123301,0.5178571428571429,0.5355052082032323,0.23308438656964123,0.19963763965868345,0.1762469036461131,1.0,0.20017873100983022,0.39376148485544293,0.0,0.24859076303033598,0.22514981690641295,0.23339774957230097,0.29114277686777384,0.15332625716836887,0.22790348607746966
global_low_conf,global_low_confidence,-1,0.7999999999999999,239,0.21358355674709562,0.002220985999883851,0.5271966527196653,0.5438693398799782,0.22606107515302437,0.21292437996790808,0.1967471406409136,1.0,0.21358355674709562,0.3842925596414428,0.0,0.24110021263461137,0.22406331695647058,0.23765411738472442,0.28672309056039114,0.15222069468588617,0.2245507584762696
global_low_conf,global_low_confidence,-1,0.85,254,0.22698838248436104,0.002517675000035524,0.5511811023622047,0.5668006432123758,0.19624524146277963,0.22674483631113376,0.2227687441787077,1.0,0.22698838248436104,0.358332327939483,0.0,0.20930082462528632,0.21355853409370223,0.23535677481379796,0.2699777365988726,0.14456142182005355,0.20735166920763942
global_low_conf,global_low_confidence,-1,0.9,269,0.24039320822162646,0.0023015350000150647,0.5687732342007435,0.5834653281805566,0.1846244821617815,0.24101029501394144,0.23738398480659392,1.0,0.24039320822162646,0.33946645377859597,0.0,0.19690697249240707,0.20844760675177626,0.23677357521578427,0.25942955074964225,0.14061629192713368,0.1996883836748558
global_low_conf,global_low_confidence,-1,0.95,284,0.2537980339588919,0.002213668999957008,0.5845070422535211,0.5974235659393081,0.18127352137849442,0.25553127644953333,0.2540942391854608,1.0,0.2537980339588919,0.32366451347386466,0.0,0.19333308275117733,0.2057320506182522,0.23983835532097444,0.2516017214532703,0.1383191417374177,0.19631906656277087
global_low_conf,global_low_confidence,-1,1.0,298,0.26630920464700625,0.0022136029999728635,0.6006711409395973,0.610975233562489,0.16189550833378316,0.2694954547922809,0.2636491038364531,1.0,0.26630920464700625,0.30832284595736165,0.0,0.17266591100410156,0.20039018389744337,0.240817365145604,0.2422066793718781,0.1342936832868015,0.18609345658803197
global_high_conf,global_high_confidence,-1,0.05,15,0.013404825737265416,0.0025070029998914833,1.0,1.0,0.8157283288650581,5.339733220186715,5.184451906977186,0.5,0.013404825737265416,0.0,0.5,0.869996187571483,0.25885063457003876,0.1443722729126443,0.16401034261773811,0.3390103426177381,0.450009198889183
global_high_conf,global_high_confidence,-1,0.1,30,0.02680965147453083,0.0032960640000965213,1.0,1.0,0.47095621090259165,4.534019373500006,4.134612223064351,0.75,0.02680965147453083,0.0,0.25,0.5022874571101792,0.14454553143515958,0.08997405402200989,0.09175019343219755,0.17925019343219756,0.25493643056525134
global_high_conf,global_high_confidence,-1,0.15,45,0.040214477211796246,0.003481660000034026,1.0,1.0,0.4487339886803694,4.118418773452675,3.676859631708043,0.875,0.040214477211796246,0.0,0.125,0.4785868598297115,0.11309164827740578,0.0824766484494591,0.07264085756474059,0.1163908575647406,0.22246691551365405
global_high_conf,global_high_confidence,-1,0.2,60,0.05361930294906166,0.0033479779999652237,1.0,1.0,0.33762287756925824,3.8501444398840365,3.4765985116286116,1.0,0.05361930294906166,0.0,0.0,0.3600838734273732,0.0674174067513714,0.06549900396472123,0.04405128278509657,0.04405128278509657,0.15207644481330854
global_high_conf,global_high_confidence,-1,0.25,75,0.06702412868632708,0.003429663000133587,1.0,1.0,0.2983378016085791,3.659142231623059,3.294905951849783,1.0,0.06702412868632708,0.0,0.0,0.3181852840259245,0.06448382477547045,0.06868179918007235,0.04187214770554151,0.04187214770554151,0.13732773291331887
global_high_conf,global_high_confidence,-1,0.3,90,0.08042895442359249,0.00355780700010655,1.0,1.0,0.2716711349419124,3.511323442889951,3.1346633059442275,1.0,0.08042895442359249,0.0,0.0,0.2897445672893633,0.06356892369930262,0.07321038166191221,0.041038799892475206,0.041038799892475206,0.1279621700792842
global_high_conf,global_high_confidence,-1,0.35,105,0.0938337801608579,0.005087619000050836,1.0,1.0,0.20691944338056945,3.3865415820552145,3.0319397536572,1.0,0.0938337801608579,0.0,0.0,0.22068514786776325,0.05656121722037896,0.07367709387524818,0.03614358181090501,0.03614358181090501,0.10234912617123398
global_high_conf,global_high_confidence,-1,0.39999999999999997,120,0.10723860589812333,0.00440473399999064,1.0,1.0,0.18310991957104564,3.282998366765482,2.9632617950009297,1.0,0.10723860589812333,0.0,0.0,0.1952916507815479,0.05610339909176301,0.07851039832212262,0.035614955962873285,0.035614955962873285,0.09420245119733765
global_high_conf,global_high_confidence,-1,0.44999999999999996,135,0.12064343163538874,0.003818805000037173,1.0,1.0,0.20903584549697152,3.194807649176,2.8928118350165146,1.0,0.12064343163538874,0.0,0.0,0.2229423476087601,0.0636022100501612,0.08864812216033982,0.04039074950618432,0.04039074950618432,0.10727345378881235
global_high_conf,global_high_confidence,-1,0.49999999999999994,149,0.13315460232350312,0.003927659999817479,1.0,1.0,0.22852378981713065,3.120033248228198,2.8452889419441245,1.0,0.13315460232350312,0.0,0.0,0.2437267640157922,0.06984766518324462,0.09760770767950595,0.04434586675010469,0.04434586675010469,0.11746389595484236
global_high_conf,global_high_confidence,-1,0.5499999999999999,164,0.14655942806076855,0.0059737520000453515,1.0,1.0,0.22132130168486677,3.048454992462727,2.7757686500029584,1.0,0.14655942806076855,0.0,0.0,0.23604511683698617,0.07204662454074007,0.10421219711712133,0.0455884258928139,0.0455884258928139,0.11640196094390975
global_high_conf,global_high_confidence,-1,0.6,179,0.15996425379803395,0.006000669000059133,1.0,1.0,0.2344271870834395,2.985218962834175,2.7168571924051617,1.0,0.15996425379803395,0.0,0.0,0.2500228958695852,0.07749449782994627,0.1129826291758772,0.04899692765666361,0.04899692765666361,0.12400379641753917
global_high_conf,global_high_confidence,-1,0.65,194,0.17336907953529937,0.0042972979999831296,1.0,1.0,0.21668831707249664,2.9280999337846336,2.6281761176562526,1.0,0.17336907953529937,0.0,0.0,0.23110391422428872,0.07800785701746815,0.11846338516684354,0.04911575335272378,0.04911575335272378,0.1184469276200104
global_high_conf,global_high_confidence,-1,0.7,209,0.1867739052725648,0.003309869000077015,1.0,1.0,0.17278756237412934,2.875058760145548,2.5891594259338775,1.0,0.1867739052725648,0.0,0.0,0.18428257939063164,0.07433586322673594,0.12115390583897381,0.04644434372994788,0.04644434372994788,0.10172911754713737
global_high_conf,global_high_confidence,-1,0.75,224,0.20017873100983022,0.00421996099998978,1.0,1.0,0.15262351589429338,2.8251732272502985,2.562762936582731,1.0,0.20017873100983022,0.0,0.0,0.16277708185828657,0.07446124503120054,0.1263760102412353,0.04630451783730319,0.04630451783730319,0.09513764239478915
global_high_conf,global_high_confidence,-1,0.7999999999999999,239,0.21358355674709562,0.01011382899991986,1.0,1.0,0.1600951237843113,2.7777575450029,2.526033435365467,1.0,0.21358355674709562,0.0,0.0,0.17074575249203613,0.07900775206057932,0.13454553146010623,0.04911210876126795,0.04911210876126795,0.1003358345088788
global_high_conf,global_high_confidence,-1,0.85,254,0.22698838248436104,0.0029194730000199343,1.0,1.0,0.15021145145060624,2.7317999386037553,2.4963593722605366,1.0,0.22698838248436104,0.0,0.0,0.1602045502985402,0.08077777816587128,0.1408640653962526,0.05006871240250818,0.05006871240250818,0.09813007749207024
