schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction
random_matched,random_matched,8,0.25,75,0.06702412868632708,0.0018443999999817606,0.8933333333333333,0.871343729799612,0.14548704200178733,1.2202106178292695,1.1000276568573768,0.875
random_matched,random_matched,8,0.3,90,0.08042895442359249,0.001859263000142164,0.9,0.8853651222072275,0.12326481977956502,1.293524237160313,1.120299916676378,1.0
random_matched,random_matched,8,0.35,105,0.0938337801608579,0.00210981800000809,0.8952380952380953,0.8761363636363637,0.14548704200178728,1.291331405237367,1.1346687148032055,1.0
random_matched,random_matched,8,0.39999999999999997,120,0.10723860589812333,0.0025194599998030753,0.9083333333333333,0.886952798663325,0.1788203753351206,1.37935720444921,1.1926280590766858,1.0
random_matched,random_matched,8,0.44999999999999996,135,0.12064343163538874,0.0029807529999743565,0.9185185185185185,0.8966853295840118,0.18993148644623173,1.366559036456964,1.184546056893668,1.0
random_matched,random_matched,8,0.49999999999999994,149,0.13315460232350312,0.002172880999978588,0.912751677852349,0.8915461269074225,0.18038637086084774,1.33591046372789,1.1800644040725692,1.0
random_matched,random_matched,8,0.5499999999999999,164,0.14655942806076855,0.0022318129999803205,0.8963414634146342,0.877457264957265,0.12841387127008,1.3617218884336082,1.1911788244041226,1.0
random_matched,random_matched,8,0.6,179,0.15996425379803395,0.0021483420000549813,0.888268156424581,0.8721947295536006,0.09632503082860291,1.3678961170139408,1.2190184265340407,1.0
random_matched,random_matched,8,0.65,194,0.17336907953529937,0.0021667399998932524,0.8865979381443299,0.8748184408898694,0.0859382917369153,1.3513052779920982,1.2013640175428115,1.0
random_matched,random_matched,8,0.7,209,0.1867739052725648,0.002592365000054997,0.8899521531100478,0.879316748066748,0.07025240410311664,1.319154337819127,1.1800644040725692,1.0
random_matched,random_matched,8,0.75,224,0.20017873100983022,0.0024165320000975044,0.8928571428571429,0.8839060635477299,0.05666730499170172,1.3272212150631997,1.1823052304831188,1.0
random_matched,random_matched,8,0.7999999999999999,239,0.21358355674709562,0.0021562429999448796,0.895397489539749,0.8880806727354009,0.061523850120213386,1.302910451395704,1.1382101939014349,1.0
random_matched,random_matched,8,0.85,254,0.22698838248436104,0.002302621000126237,0.9015748031496063,0.8948197115384615,0.05793277180834963,1.351298881927005,1.1663198545447875,1.0
random_matched,random_matched,8,0.9,269,0.24039320822162646,0.002140235000069879,0.9070631970260223,0.9001480026847608,0.054742185501526486,1.3809019760015955,1.2007100612597035,1.0
random_matched,random_matched,8,0.95,284,0.2537980339588919,0.002139404999979888,0.9049295774647887,0.8988189041005941,0.07214061850998757,1.4001563362788325,1.2138912601150476,1.0
random_matched,random_matched,8,1.0,298,0.26630920464700625,0.002100796000149785,0.9026845637583892,0.8982763119215907,0.07256598952804219,1.3970878912322469,1.2138912601150476,1.0
random_matched,random_matched,9,0.05,15,0.013404825737265416,0.0019770070000504347,0.8666666666666667,0.8666666666666667,0.5211796246648794,1.3381172448085323,1.6301472083102158,0.625
random_matched,random_matched,9,0.1,30,0.02680965147453083,0.0018461509998815018,0.9,0.9097222222222222,0.1992850759606792,1.4195484752764094,1.345219472506634,0.625
random_matched,random_matched,9,0.15,45,0.040214477211796246,0.0018896720000611822,0.9111111111111111,0.9166666666666666,0.25022341376228774,1.3813914367927524,1.1917878671049844,0.875
random_matched,random_matched,9,0.2,60,0.05361930294906166,0.0018348329999753332,0.9,0.9007675438596492,0.22832886505808753,1.2891001297287419,1.1176364597014086,1.0
random_matched,random_matched,9,0.25,75,0.06702412868632708,0.002443577000121877,0.9066666666666666,0.9092261904761905,0.2616621983914209,1.2702145539056768,1.1136731120192667,1.0
random_matched,random_matched,9,0.3,90,0.08042895442359249,0.0025140230000033625,0.9222222222222223,0.9227310924369747,0.2394399761691987,1.3305924122104176,1.185926135588777,1.0
random_matched,random_matched,9,0.35,105,0.0938337801608579,0.002089513000100851,0.8952380952380953,0.8938088559406933,0.1854717222009447,1.299879615958022,1.1532002233703849,1.0
random_matched,random_matched,9,0.39999999999999997,120,0.10723860589812333,0.0020493719998739834,0.8833333333333333,0.8848660714285714,0.17832886505808757,1.2370705959133717,1.0877080070819884,1.0
random_matched,random_matched,9,0.44999999999999996,135,0.12064343163538874,0.0021357119999265706,0.8888888888888888,0.88646004378763,0.21721775394697646,1.2266917241370932,1.0621102225979375,1.0
random_matched,random_matched,9,0.49999999999999994,149,0.13315460232350312,0.0021202220000304806,0.8859060402684564,0.8833481163444398,0.17575615812296455,1.246421205365573,1.0621102225979375,1.0
random_matched,random_matched,9,0.5499999999999999,164,0.14655942806076855,0.002264847999867925,0.8902439024390244,0.8866385051054041,0.15922317400117697,1.2293861743109031,1.0576832537246115,1.0
random_matched,random_matched,9,0.6,179,0.15996425379803395,0.002137113000117097,0.8938547486033519,0.8900194766473837,0.15663426543052705,1.2423389796078605,1.1000276568573768,1.0
random_matched,random_matched,9,0.65,194,0.17336907953529937,0.0020398469998781366,0.8969072164948454,0.8939476385276092,0.1132085901439982,1.2643596109470896,1.106666724211708,1.0
random_matched,random_matched,9,0.7,209,0.1867739052725648,0.0021297969999523048,0.8947368421052632,0.8920730856445142,0.11429377733878934,1.2677773973828403,1.1133057915660391,1.0
random_matched,random_matched,9,0.75,224,0.20017873100983022,0.0021621379999032797,0.8883928571428571,0.8843181818181818,0.11523362696284947,1.2500352839840967,1.0810689397276572,1.0
random_matched,random_matched,9,0.7999999999999999,239,0.21358355674709562,0.0021627280000302562,0.891213389121339,0.8860567670206552,0.10768730299393137,1.284350304916904,1.1202413398528384,1.0
random_matched,random_matched,9,0.85,254,0.22698838248436104,0.0021642310000515863,0.8858267716535433,0.8800673665166988,0.0852842456355154,1.2830519286568745,1.128134261093378,1.0
random_matched,random_matched,9,0.9,269,0.24039320822162646,0.002302900000131558,0.8884758364312267,0.8833282742431601,0.08768450322413465,1.2849935388524578,1.1346687148032055,1.0
random_matched,random_matched,9,0.95,284,0.2537980339588919,0.002541605000033087,0.8873239436619719,0.8818285572125614,0.07928985890319576,1.2888405056953052,1.128134261093378,1.0
random_matched,random_matched,9,1.0,298,0.26630920464700625,0.0023916409998037125,0.8859060402684564,0.8805922248846549,0.07971522992125038,1.2839235550320125,1.128134261093378,1.0
random_matched,random_matched,10,0.05,15,0.013404825737265416,0.0018563040000572073,0.8666666666666667,0.875,0.39499553172475427,1.1362880965103705,1.0200324096890467,0.125
random_matched,random_matched,10,0.1,30,0.02680965147453083,0.0031340169998657075,0.8666666666666667,0.8854166666666666,0.18427167113494186,1.2242887161799938,1.091175781225388,0.75
random_matched,random_matched,10,0.15,45,0.040214477211796246,0.0024451179999687156,0.9111111111111111,0.9196428571428572,0.20649389335716412,1.4131271540725345,1.215775570032997,0.875
random_matched,random_matched,10,0.2,60,0.05361930294906166,0.0022603649999837216,0.9333333333333333,0.9375,0.2176050044682752,1.4854955828347132,1.2709457789565684,0.875
random_matched,random_matched,10,0.25,75,0.06702412868632708,0.002162459000146555,0.9066666666666666,0.9092592592592592,0.2509383378016085,1.5024620247858833,1.2996196861691316,0.875
random_matched,random_matched,10,0.3,90,0.08042895442359249,0.0021189150002101087,0.9111111111111111,0.9111426767676768,0.25093833780160857,1.417090051269555,1.2709457789565684,1.0
random_matched,random_matched,10,0.35,105,0.0938337801608579,0.0020933509999849775,0.9142857142857143,0.9102025425554837,0.1557002425635133,1.4195294364054205,1.2816181742945996,1.0
random_matched,random_matched,10,0.39999999999999997,120,0.10723860589812333,0.0022351630000230216,0.9083333333333333,0.9032679277244494,0.14571045576407507,1.3434091393764667,1.2156840931621955,1.0
random_matched,random_matched,10,0.44999999999999996,135,0.12064343163538874,0.002197066000007908,0.9111111111111111,0.9060408622908623,0.11422897428259357,1.4204249149480386,1.2957121642944542,1.0
random_matched,random_matched,10,0.49999999999999994,149,0.13315460232350312,0.0021261629999571596,0.9060402684563759,0.9006116684150712,0.11293640654707282,1.413021328260288,1.2816181742945996,1.0
random_matched,random_matched,10,0.5499999999999999,164,0.14655942806076855,0.002110895999976492,0.9085365853658537,0.9026010101010101,0.10402362736764095,1.4329406692309794,1.297404651309641,1.0
random_matched,random_matched,10,0.6,179,0.15996425379803395,0.002873593999993318,0.9162011173184358,0.9087944408532644,0.12984458390122863,1.4558843751874277,1.2996196861691316,1.0
random_matched,random_matched,10,0.65,194,0.17336907953529937,0.0022717700001066987,0.9072164948453608,0.8967202524674884,0.13105405231106565,1.4271245893052236,1.2886651692945268,1.0
random_matched,random_matched,10,0.7,209,0.1867739052725648,0.00227246000008563,0.9043062200956937,0.8952707607433217,0.09381240085346193,1.398234177938386,1.260273383618537,1.0
random_matched,random_matched,10,0.75,224,0.20017873100983022,0.002316653999969276,0.90625,0.8997634946470081,0.07048704200178729,1.392457186386688,1.2662493699092177,1.0
random_matched,random_matched,10,0.7999999999999999,239,0.21358355674709562,0.002414028999965012,0.891213389121339,0.8827740147783252,0.05845775329885844,1.3638415943231719,1.243253100000862,1.0
random_matched,random_matched,10,0.85,254,0.22698838248436104,0.0027909559998988698,0.889763779527559,0.8849562474562475,0.043064322053577075,1.3788790170004628,1.2662493699092177,1.0
random_matched,random_matched,10,0.9,269,0.24039320822162646,0.0023411180000039167,0.8847583643122676,0.8797387124527738,0.032350977206813014,1.368452885221197,1.260273383618537,1.0
random_matched,random_matched,10,0.95,284,0.2537980339588919,0.0024834000000737433,0.8908450704225352,0.8857052441229656,0.03608604261853515,1.3865455441536412,1.276921765247249,1.0
random_matched,random_matched,10,1.0,298,0.26630920464700625,0.0033090339998125273,0.889261744966443,0.8840824975049373,0.03751551900966221,1.3808995149279712,1.276921765247249,1.0
random_matched,random_matched,11,0.05,15,0.013404825737265416,0.001989395999999033,0.9333333333333333,0.95,0.3842716711349418,1.5812950820312355,1.5024177179386533,0.25
random_matched,random_matched,11,0.1,30,0.02680965147453083,0.00225524100005714,0.9333333333333333,0.9375,0.25522788203753355,1.5618593163687957,1.4622289804768622,0.75
random_matched,random_matched,11,0.15,45,0.040214477211796246,0.0020258199999716453,0.9111111111111111,0.9166666666666666,0.25522788203753355,1.5294052250745052,1.449080149300464,0.875
random_matched,random_matched,11,0.2,60,0.05361930294906166,0.002024238000103651,0.8833333333333333,0.8868421052631578,0.1842716711349419,1.5032188470669503,1.3570590228010233,0.875
random_matched,random_matched,11,0.25,75,0.06702412868632708,0.001969377000023087,0.88,0.888095238095238,0.1485612153708669,1.5568099581453807,1.4320847802667798,0.875
random_matched,random_matched,11,0.3,90,0.08042895442359249,0.001954510000132359,0.8888888888888888,0.8883137796181275,0.11760500446827524,1.5023345758766418,1.3955376290663888,0.875
random_matched,random_matched,11,0.35,105,0.0938337801608579,0.002028901000130645,0.8761904761904762,0.8740683229813664,0.06475169156134306,1.4748668811341954,1.4194502462647756,0.875
random_matched,random_matched,11,0.39999999999999997,120,0.10723860589812333,0.002011473000038677,0.875,0.8677394636015325,0.06760500446827522,1.5313380555071372,1.3480960641834434,1.0
random_matched,random_matched,11,0.44999999999999996,135,0.12064343163538874,0.0020476730001064425,0.8814814814814815,0.8734375,0.059974183298580036,1.5295732656165117,1.3589904778659978,1.0
random_matched,random_matched,11,0.49999999999999994,149,0.13315460232350312,0.002016370000092138,0.87248322147651,0.8642448238036473,0.07266795017123392,1.5187819239477123,1.355127567736049,1.0
random_matched,random_matched,11,0.5499999999999999,164,0.14655942806076855,0.002056756999991194,0.8841463414634146,0.8757565182001978,0.055243139562762916,1.5318117356591094,1.417237489423148,1.0
random_matched,random_matched,11,0.6,179,0.15996425379803395,0.0020727050000459712,0.8938547486033519,0.8846539008685235,0.07397866211351914,1.5411761368706287,1.4194502462647756,1.0
random_matched,random_matched,11,0.65,194,0.17336907953529937,0.0020967110001492983,0.9020618556701031,0.8900448295185137,0.10012621725951926,1.5346046514671527,1.417237489423148,1.0
random_matched,random_matched,11,0.7,209,0.1867739052725648,0.002203526000130296,0.8995215311004785,0.88915958687323,0.10338177884389257,1.533852807671561,1.4194502462647756,1.0
random_matched,random_matched,11,0.75,224,0.20017873100983022,0.0022679899998365727,0.9017857142857143,0.8920643082407789,0.08834418485893011,1.5402041038799905,1.3570590228010233,1.0
random_matched,random_matched,11,0.7999999999999999,239,0.21358355674709562,0.002158584999961022,0.891213389121339,0.884396177825969,0.074214499646651,1.5020442986825004,1.328374775581802,1.0
random_matched,random_matched,11,0.85,254,0.22698838248436104,0.002220244999989518,0.8976377952755905,0.8912088428485399,0.05290860090209901,1.5151883449390964,1.3341597078643415,1.0
random_matched,random_matched,11,0.9,269,0.24039320822162646,0.0022487840001303994,0.9033457249070632,0.8971438844492958,0.06537967051037996,1.4961464208445832,1.3078569007443366,1.0
random_matched,random_matched,11,0.95,284,0.2537980339588919,0.002231419999816353,0.9014084507042254,0.8949862201843812,0.07129731022416894,1.4921948097891304,1.3281855855079059,1.0
random_matched,random_matched,11,1.0,298,0.26630920464700625,0.0021293429999786895,0.889261744966443,0.8837109117022846,0.05528665934949106,1.4728909295496886,1.302555731516675,1.0
random_matched,random_matched,12,0.05,15,0.013404825737265416,0.0018259440000747418,1.0,1.0,0.27882037533512066,1.4848555032502015,1.3774825496657408,0.5
random_matched,random_matched,12,0.1,30,0.02680965147453083,0.0018117019999408512,0.9333333333333333,0.9285714285714286,0.14477211796246642,1.3046261487010111,1.2919681319118386,0.625
random_matched,random_matched,12,0.15,45,0.040214477211796246,0.0018814739999015728,0.9111111111111111,0.9166666666666667,0.016443252904378924,1.2861097303585192,1.255183432744016,0.75
random_matched,random_matched,12,0.2,60,0.05361930294906166,0.0018740969999271329,0.9166666666666666,0.9213032581453634,0.10071492403932075,1.314833428311689,1.2919681319118386,1.0
random_matched,random_matched,12,0.25,75,0.06702412868632708,0.0019053410001106386,0.92,0.9258838383838384,0.0583378016085791,1.3496618555212783,1.355127567736049,1.0
random_matched,random_matched,12,0.3,90,0.08042895442359249,0.001894023999966521,0.9111111111111111,0.9140873015873017,0.09389335716413466,1.3355186681273647,1.3360964572675846,1.0
