schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence
confidence_adaptive,adaptive_low_confidence,-1,0.7,209,0.1867739052725648,0.001829465000014352,0.5502392344497608,0.5701628082062865,0.21240769484031793,0.31327123750756025,0.146320276107396
confidence_adaptive,adaptive_low_confidence,-1,0.75,224,0.20017873100983022,0.001854573000059645,0.5625,0.5793271502304358,0.2152272437124984,0.3150047712954425,0.1762469036461131
confidence_adaptive,adaptive_low_confidence,-1,0.7999999999999999,239,0.21358355674709562,0.0019483029999491919,0.5564853556485355,0.5738986633933443,0.22606107515302437,0.31830777440569114,0.1967471406409136
confidence_adaptive,adaptive_low_confidence,-1,0.85,254,0.22698838248436104,0.0019396380000671343,0.5708661417322834,0.5860807741680656,0.2119932729588426,0.32296052337189096,0.2227687441787077
confidence_adaptive,adaptive_low_confidence,-1,0.9,269,0.24039320822162646,0.0025254480000285184,0.5799256505576208,0.5952009137550088,0.2069293148755361,0.328466068419328,0.23738398480659392
confidence_adaptive,adaptive_low_confidence,-1,0.95,284,0.2537980339588919,0.002474417000030371,0.5915492957746479,0.607099980487584,0.20240028194187468,0.33567432542573455,0.2540942391854608
confidence_adaptive,adaptive_low_confidence,-1,1.0,298,0.26630920464700625,0.0026487060000590645,0.6073825503355704,0.6214545635696166,0.18202973652170265,0.34303982170080155,0.2636491038364531
high_confidence_first,adaptive_high_confidence,-1,0.05,15,0.013404825737265416,0.0018687850000560502,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783
high_confidence_first,adaptive_high_confidence,-1,0.1,30,0.02680965147453083,0.0019330549999949653,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397
high_confidence_first,adaptive_high_confidence,-1,0.15,45,0.040214477211796246,0.0021710040000471054,0.9555555555555556,0.95,0.2659517426273459,2.5847072168844667,1.6022152127236617
high_confidence_first,adaptive_high_confidence,-1,0.2,60,0.05361930294906166,0.0021962440000606875,0.9666666666666667,0.9583333333333334,0.2042895442359249,2.870606794366674,3.297510074990036
high_confidence_first,adaptive_high_confidence,-1,0.25,75,0.06702412868632708,0.0022015889999238425,0.9733333333333334,0.9666666666666667,0.2442895442359249,2.9539289501649417,3.294905951849783
high_confidence_first,adaptive_high_confidence,-1,0.3,90,0.08042895442359249,0.0020808990000205085,0.9777777777777777,0.96875,0.2042895442359249,2.967503590558357,3.1346633059442275
high_confidence_first,adaptive_high_confidence,-1,0.35,105,0.0938337801608579,0.002221430999952645,0.9809523809523809,0.9705882352941176,0.13762287756925826,2.9556397188511303,3.0319397536572
high_confidence_first,adaptive_high_confidence,-1,0.39999999999999997,120,0.10723860589812333,0.002041197000039574,0.9833333333333333,0.9736842105263158,0.13833780160857914,2.930742484455115,2.9632617950009297
high_confidence_first,adaptive_high_confidence,-1,0.44999999999999996,135,0.12064343163538874,0.0019657540000252993,0.9851851851851852,0.9761904761904762,0.10533214179326783,2.8963040859890055,2.8928118350165146
high_confidence_first,adaptive_high_confidence,-1,0.49999999999999994,149,0.13315460232350312,0.0020115849999911006,0.9865771812080537,0.9782608695652174,0.10771842068961385,2.864023191318859,2.8452889419441245
high_confidence_first,adaptive_high_confidence,-1,0.5499999999999999,164,0.14655942806076855,0.0020207930000424312,0.9878048780487805,0.9782608695652174,0.1359554480263302,2.8291395774842596,2.7757686500029584
high_confidence_first,adaptive_high_confidence,-1,0.6,179,0.15996425379803395,0.00201559399999951,0.9888268156424581,0.9782608695652174,0.15946001268091523,2.7925405396440954,2.7168571924051617
high_confidence_first,adaptive_high_confidence,-1,0.65,194,0.17336907953529937,0.0020422830000370595,0.9896907216494846,0.9814814814814815,0.1380927374404614,2.7566089414782633,2.6281761176562526
high_confidence_first,adaptive_high_confidence,-1,0.7,209,0.1867739052725648,0.0021005190000096263,0.9904306220095693,0.9827586206896551,0.1536488063932681,2.7228260654138614,2.5891594259338775
high_confidence_first,adaptive_high_confidence,-1,0.75,224,0.20017873100983022,0.002040085999965413,0.9910714285714286,0.9848484848484849,0.14369494446572192,2.6900025216145553,2.562762936582731
high_confidence_first,adaptive_high_confidence,-1,0.7999999999999999,239,0.21358355674709562,0.0021500180000657565,0.9916317991631799,0.9861111111111112,0.11518802277885598,2.65753683413044,2.526033435365467
high_confidence_first,adaptive_high_confidence,-1,0.85,254,0.22698838248436104,0.0019488430000365042,0.9921259842519685,0.9868421052631579,0.11723065447918207,2.625466010586726,2.4963593722605366
high_confidence_first,adaptive_high_confidence,-1,0.9,269,0.24039320822162646,0.0020095890000675354,0.9925650557620818,0.9875,0.12165668364279039,2.5933235321425934,2.432439817197044
high_confidence_first,adaptive_high_confidence,-1,0.95,284,0.2537980339588919,0.0019297320000077889,0.9929577464788732,0.9888888888888889,0.12154338002995635,2.5614631564166213,2.3965613534829737
high_confidence_first,adaptive_high_confidence,-1,1.0,298,0.26630920464700625,0.002029969999966852,0.9932885906040269,0.9895833333333334,0.12669509569306245,2.532778061697309,2.3698454648508656
random_matched,random_matched,0,0.05,15,0.013404825737265416,0.0018053580000696456,0.9333333333333333,0.9166666666666666,0.4050044682752458,1.4200319449884462,1.5710085319449836
random_matched,random_matched,0,0.1,30,0.02680965147453083,0.0018510029999561084,0.9333333333333333,0.9017857142857143,0.20500446827524574,1.549483563581277,1.584222025318565
random_matched,random_matched,0,0.15,45,0.040214477211796246,0.0020102510000015172,0.9333333333333333,0.9214285714285714,0.18278224605302357,1.6094130820468666,1.5710085319449836
random_matched,random_matched,0,0.2,60,0.05361930294906166,0.0019319439999208043,0.9,0.9000730994152046,0.23833780160857906,1.5214006023869584,1.4631889474363229
random_matched,random_matched,0,0.25,75,0.06702412868632708,0.002208233000033033,0.88,0.8701018099547512,0.1383378016085791,1.4747927871587208,1.382571100597358
random_matched,random_matched,0,0.3,90,0.08042895442359249,0.0020580130000098507,0.9,0.8892663043478262,0.17849270181709861,1.4547315626090236,1.372895847287642
random_matched,random_matched,0,0.35,105,0.0938337801608579,0.0020072250000566783,0.8857142857142857,0.8724664224664225,0.13404825737265408,1.4076950226667044,1.341064560630838
random_matched,random_matched,0,0.39999999999999997,120,0.10723860589812333,0.002050812999982554,0.8833333333333333,0.8710504549214226,0.11738159070598744,1.3783570524997208,1.318484140638552
random_matched,random_matched,0,0.44999999999999996,135,0.12064343163538874,0.0019042320000153268,0.8666666666666667,0.8482362232362233,0.14548704200178733,1.3397666135785091,1.2018017642325118
random_matched,random_matched,0,0.49999999999999994,149,0.13315460232350312,0.0019203979999247167,0.8791946308724832,0.8639030612244898,0.1401179144850088,1.3684128061583716,1.337050662114549
random_matched,random_matched,0,0.5499999999999999,164,0.14655942806076855,0.001977923000026749,0.8841463414634146,0.8726365546218486,0.11621874931886048,1.3764434895811593,1.3375962401180859
random_matched,random_matched,0,0.6,179,0.15996425379803395,0.0019525640000210842,0.888268156424581,0.879523198575618,0.10749821518614483,1.3626933717284804,1.31981555733894
random_matched,random_matched,0,0.65,194,0.17336907953529937,0.001890507000098296,0.8865979381443299,0.8770641924564797,0.13105405231106565,1.3496696288937928,1.2998393738406007
random_matched,random_matched,0,0.7,209,0.1867739052725648,0.0020260339999822463,0.8899521531100478,0.8833529950969629,0.10338177884389252,1.3539819766973522,1.31981555733894
random_matched,random_matched,0,0.75,224,0.20017873100983022,0.0018889939999553462,0.8928571428571429,0.8864261932460774,0.10620132771607302,1.3475498093831721,1.324095166460371
random_matched,random_matched,0,0.7999999999999999,239,0.21358355674709562,0.0018796049999991737,0.891213389121339,0.8850496920919456,0.09193055664613878,1.3781910283580339,1.337050662114549
random_matched,random_matched,0,0.85,254,0.22698838248436104,0.0019016469999542096,0.889763779527559,0.8832274167890606,0.10296735696241718,1.36895403616119,1.324095166460371
random_matched,random_matched,0,0.9,269,0.24039320822162646,0.0018813350000073115,0.895910780669145,0.8895054408822525,0.10533834311702897,1.3821413456363547,1.3279963954340097
random_matched,random_matched,0,0.95,284,0.2537980339588919,0.0018542599999591403,0.897887323943662,0.8923104814645182,0.10041661946657604,1.3802781614312176,1.3138362290416383
random_matched,random_matched,0,1.0,298,0.26630920464700625,0.0019498230000181138,0.8959731543624161,0.8907087270733192,0.07971522992125038,1.3736681601209475,1.2977366464065505
random_matched,random_matched,1,0.05,15,0.013404825737265416,0.0016239640000321742,1.0,1.0,0.2716711349419124,1.6125155045269934,1.5316831788415066
random_matched,random_matched,1,0.1,30,0.02680965147453083,0.0017119320000347216,1.0,1.0,0.20500446827524574,1.4481189424378236,1.250238907762314
random_matched,random_matched,1,0.15,45,0.040214477211796246,0.0017226020000862263,1.0,1.0,0.1383378016085791,1.4018816168694113,1.1462110563575687
random_matched,random_matched,1,0.2,60,0.05361930294906166,0.0017479030000231432,0.9833333333333333,0.9791666666666666,0.1673815907059874,1.3122150269082709,1.0889209030009903
random_matched,random_matched,1,0.25,75,0.06702412868632708,0.0017279610000286993,0.9466666666666667,0.9449632352941176,0.17093833780160853,1.2300521260188375,1.0644136353759817
random_matched,random_matched,1,0.3,90,0.08042895442359249,0.0017350939999687398,0.9222222222222223,0.9218408925539656,0.16204944891271966,1.1572672765713592,1.0284712326479313
random_matched,random_matched,1,0.35,105,0.0938337801608579,0.0017530669999814563,0.9238095238095239,0.9222397891963109,0.1557002425635133,1.1933464241436482,1.0417781524994003
random_matched,random_matched,1,0.39999999999999997,120,0.10723860589812333,0.0017716419999942445,0.925,0.9209589143799669,0.11760500446827521,1.1406284092797312,1.0235712958978267
random_matched,random_matched,1,0.44999999999999996,135,0.12064343163538874,0.0018032450000191602,0.9259259259259259,0.9247549019607842,0.08797537483864559,1.206352408835303,1.032982529802916
