schedule_name,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
random_matched,random_matched,10,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8392857142857143,0.0017766429999710454
random_matched,random_matched,10,target_99,target_0.99,0.8744910507620687,105,0.0938337801608579,0.8771786492374727,0.0018126039999515342
random_matched,random_matched,10,stability,stable_w3_tol0.01_not_reached,,298,0.26630920464700625,0.8784429351067721,0.0018640759999470902
random_matched,random_matched,11,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.001514276999955655
random_matched,random_matched,11,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.001514276999955655
random_matched,random_matched,11,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.9020824034121906,0.0018425560000423502
random_matched,random_matched,12,target_95,target_0.95,0.8391580790141063,60,0.05361930294906166,0.8736263736263736,0.0017004960000122082
random_matched,random_matched,12,target_99,target_0.99,0.8744910507620687,75,0.06702412868632708,0.8988095238095238,0.0018723709999903804
random_matched,random_matched,12,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8511624527753561,0.001993176999917523
random_matched,random_matched,13,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0015791370000215466
random_matched,random_matched,13,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0015791370000215466
random_matched,random_matched,13,stability,stable_w3_tol0.01,,75,0.06702412868632708,0.9305294486215538,0.0017229930000439708
random_matched,random_matched,14,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9,0.0015246209999304483
random_matched,random_matched,14,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9,0.0015246209999304483
random_matched,random_matched,14,stability,stable_w3_tol0.01,,105,0.0938337801608579,0.8680241327300151,0.001803187999939837
random_matched,random_matched,15,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8428571428571427,0.001659603000007337
random_matched,random_matched,15,target_99,target_0.99,0.8744910507620687,60,0.05361930294906166,0.8870829033367733,0.001700604999996358
random_matched,random_matched,15,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.8663847117794486,0.0017838510000274255
random_matched,random_matched,16,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016264800000271862
random_matched,random_matched,16,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016264800000271862
random_matched,random_matched,16,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8836335840239494,0.0017990759999975126
random_matched,random_matched,17,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0015928860000258283
random_matched,random_matched,17,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0015928860000258283
random_matched,random_matched,17,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.902819528895569,0.0018605970000180605
random_matched,random_matched,18,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0015907739999647674
random_matched,random_matched,18,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0015907739999647674
