label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift
mod30_random_22,mod30,random_matched,22,1119,298,0.26630920464700625,0.0010825300000760762,0.8959731543624161,0.8927342162837943,0.09429560189766756
mod30_random_23,mod30,random_matched,23,1119,298,0.26630920464700625,0.0009935460000178864,0.8557046979865772,0.8592008101678061,0.10820423316599798
mod30_random_24,mod30,random_matched,24,1119,298,0.26630920464700625,0.0009834940001383075,0.8791946308724832,0.8794918587823195,0.12206488295517931
mod30_random_25,mod30,random_matched,25,1119,298,0.26630920464700625,0.002239498000108142,0.8590604026845637,0.8585413792975929,0.11805243176134009
mod30_random_26,mod30,random_matched,26,1119,298,0.26630920464700625,0.0011049550000734598,0.8758389261744967,0.8743089081756305,0.09236434736191837
mod30_random_27,mod30,random_matched,27,1119,298,0.26630920464700625,0.0009069929999441229,0.8791946308724832,0.868993271221532,0.09555511572532993
mod30_random_28,mod30,random_matched,28,1119,298,0.26630920464700625,0.0014420009999867034,0.889261744966443,0.8870473022912048,0.04422692840563536
mod30_random_29,mod30,random_matched,29,1119,298,0.26630920464700625,0.0009349930001008033,0.9161073825503355,0.9156011571565381,0.03322117662582236
mod210_deterministic,mod210,deterministic,-1,1119,256,0.2287756925826631,0.0010392079998382542,0.91796875,0.9157271740605074,0.1037687109025916
mod210_random_00,mod210,random_matched,0,1119,256,0.2287756925826631,0.0009223949998613534,0.90234375,0.9018678273004647,0.03531333780160856
mod210_random_01,mod210,random_matched,1,1119,256,0.2287756925826631,0.0008972000000539992,0.84375,0.8464994092463844,0.07013795799821271
mod210_random_02,mod210,random_matched,2,1119,256,0.2287756925826631,0.0009458399999857647,0.8828125,0.880939778519809,0.12906333780160856
mod210_random_03,mod210,random_matched,3,1119,256,0.2287756925826631,0.000901956000006976,0.890625,0.8947661796632049,0.11175575290437895
mod210_random_04,mod210,random_matched,4,1119,256,0.2287756925826631,0.0009227519999512879,0.890625,0.8864945538332635,0.05451295799821271
mod210_random_05,mod210,random_matched,5,1119,256,0.2287756925826631,0.0008401039999625937,0.859375,0.8560706395594455,0.10293090929401255
mod210_random_06,mod210,random_matched,6,1119,256,0.2287756925826631,0.0008723210000880499,0.91015625,0.9072396500213401,0.05314454870420021
mod210_random_07,mod210,random_matched,7,1119,256,0.2287756925826631,0.0008196850001240819,0.875,0.8749800233573053,0.06876954870420021
