label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod210_random_progress_0.5_04,mod210,random_progress,4,1119,128,0.11438784629133154,0.00204534399995282,0.8984375,0.8995941558441558,0.03888795799821271,0.5,0.11438784629133154
mod210_random_progress_0.5_05,mod210,random_progress,5,1119,128,0.11438784629133154,0.0008827449998989323,0.890625,0.8943011011976529,0.19293174709562105,0.5,0.11438784629133154
mod210_random_progress_0.5_06,mod210,random_progress,6,1119,128,0.11438784629133154,0.0008366360000309214,0.875,0.8959866220735786,0.1897062109025916,0.5,0.11438784629133154
mod210_random_progress_0.5_07,mod210,random_progress,7,1119,128,0.11438784629133154,0.0007596559999001329,0.8671875,0.8625420875420875,0.11343833780160856,0.5,0.11438784629133154
mod210_random_progress_0.5_08,mod210,random_progress,8,1119,128,0.11438784629133154,0.0007879269999193639,0.8671875,0.8780703317591849,0.1795129579982127,0.5,0.11438784629133154
mod210_random_progress_0.5_09,mod210,random_progress,9,1119,128,0.11438784629133154,0.0009030969999912486,0.890625,0.891819067370538,0.0334562109025916,0.5,0.11438784629133154
mod210_progress_0.6,mod210,deterministic_progress,-1,1119,154,0.13762287756925826,0.0007838050000827934,0.935064935064935,0.9337530432136335,0.15926789921427992,0.6,0.13762287756925826
mod210_random_progress_0.6_00,mod210,random_progress,0,1119,154,0.13762287756925826,0.0008460649999051384,0.8636363636363636,0.8627086007702183,0.13087984401657324,0.6,0.13762287756925826
mod210_random_progress_0.6_01,mod210,random_progress,1,1119,154,0.13762287756925826,0.0008305639998980041,0.8766233766233766,0.8828709310775308,0.15840906189431658,0.6,0.13762287756925826
mod210_random_progress_0.6_02,mod210,random_progress,2,1119,154,0.13762287756925826,0.0007417829999667447,0.8766233766233766,0.871031746031746,0.10716897043974791,0.6,0.13762287756925826
mod210_random_progress_0.6_03,mod210,random_progress,3,1119,154,0.13762287756925826,0.0008636569998543564,0.8961038961038961,0.8992023273273273,0.12659726332648583,0.6,0.13762287756925826
mod210_random_progress_0.6_04,mod210,random_progress,4,1119,154,0.13762287756925826,0.0009026410000387841,0.8701298701298701,0.8699830310448425,0.041525945011199716,0.6,0.13762287756925826
mod210_random_progress_0.6_05,mod210,random_progress,5,1119,154,0.13762287756925826,0.0007249619998219714,0.8896103896103896,0.8894452321871676,0.029246892517669987,0.6,0.13762287756925826
mod210_random_progress_0.6_06,mod210,random_progress,6,1119,154,0.13762287756925826,0.000780090000034761,0.8246753246753247,0.8307449345465616,0.13243503592029063,0.6,0.13762287756925826
mod210_random_progress_0.6_07,mod210,random_progress,7,1119,154,0.13762287756925826,0.0007324279999920691,0.8571428571428571,0.8502124283374284,0.11361025033947283,0.6,0.13762287756925826
