schedule_name,schedule_type,trial,rule,accuracy_target_fraction,coverage_target,target_balanced_accuracy,stop_reason,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_lane_coverage_fraction,stop_class_balance_l1_shift,stop_eval_time_seconds,rule_label
random_matched,random_matched,7,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.8444444444444444,0.875,0.2164432529043789,0.0016848449999997683,coverage_only_75
random_matched,random_matched,7,coverage_only,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.87028452685422,1.0,0.09451295799821269,0.002892119000080129,coverage_only_100
random_matched,random_matched,7,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.8444444444444444,0.875,0.2164432529043789,0.0016848449999997683,joint_acc95_cov75
random_matched,random_matched,7,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.87028452685422,1.0,0.09451295799821269,0.002892119000080129,joint_acc95_cov100
random_matched,random_matched,8,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.8958333333333334,0.375,0.2716711349419124,0.0017493660002401157,accuracy_only
random_matched,random_matched,8,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.873015873015873,0.875,0.18427167113494186,0.0016866319997461687,coverage_only_75
random_matched,random_matched,8,coverage_only,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8676236044657097,1.0,0.10071492403932078,0.001746010000260867,coverage_only_100
random_matched,random_matched,8,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.873015873015873,0.875,0.18427167113494186,0.0016866319997461687,joint_acc95_cov75
random_matched,random_matched,8,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8676236044657097,1.0,0.10071492403932078,0.001746010000260867,joint_acc95_cov100
random_matched,random_matched,9,accuracy_only,0.95,0.0,0.8391580790141063,reached,30,0.02680965147453083,0.8892857142857142,0.625,0.20500446827524574,0.0021353009997255867,accuracy_only
random_matched,random_matched,9,coverage_only,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.88125,0.75,0.0831099195710456,0.0018248859996674582,coverage_only_75
random_matched,random_matched,9,coverage_only,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8926630434782609,1.0,0.08960381292820971,0.0017231960000572144,coverage_only_100
random_matched,random_matched,9,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.88125,0.75,0.0831099195710456,0.0018248859996674582,joint_acc95_cov75
